beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
4.00,3.50,2440.00,sqft,7200.00,sqft,98125,1185000.00
3.00,2.00,2140.00,sqft,7200.00,sqft,98115,918000.00
5.00,4.50,5704.00,sqft,7200.00,sqft,98119,4000000.00
1.00,1.00,647.00,sqft,7197.00,sqft,98102,377500.00
4.00,1.50,1630.00,sqft,7182.00,sqft,98133,734950.00
2.00,1.50,1550.00,sqft,7154.00,sqft,98112,1550000.00
3.00,1.50,1520.00,sqft,7150.00,sqft,98146,720000.00
3.00,1.00,1270.00,sqft,7140.00,sqft,98117,1050000.00
3.00,1.00,1010.00,sqft,7100.00,sqft,98178,475000.00
3.00,2.50,1550.00,sqft,7089.00,sqft,98116,1350000.00
3.00,1.00,1410.00,sqft,7080.00,sqft,98118,475000.00
2.00,1.00,1440.00,sqft,7080.00,sqft,98146,488000.00
3.00,3.00,1790.00,sqft,7080.00,sqft,98109,1325000.00
5.00,3.00,2777.00,sqft,7026.00,sqft,98125,1338600.00
4.00,4.50,3960.00,sqft,7025.00,sqft,98144,2485000.00
5.00,3.00,3060.00,sqft,7006.00,sqft,98118,889000.00
3.00,4.50,3760.00,sqft,7000.00,sqft,98199,1570000.00
4.00,2.50,3680.00,sqft,7000.00,sqft,98118,1880000.00
4.00,3.50,4350.00,sqft,7000.00,sqft,98136,2000000.00
2.00,1.00,2170.00,sqft,6985.00,sqft,98199,950000.00
4.00,3.00,3030.00,sqft,6960.00,sqft,98115,1119000.00
4.00,2.00,2320.00,sqft,6960.00,sqft,98115,1150000.00
3.00,2.00,1900.00,sqft,6957.00,sqft,98199,1299000.00
2.00,1.00,800.00,sqft,6946.00,sqft,98125,550000.00
3.00,2.50,1810.00,sqft,6925.00,sqft,98125,922000.00
5.00,3.00,3590.00,sqft,6900.00,sqft,98117,1700000.00
4.00,2.00,2591.00,sqft,6900.00,sqft,98125,800000.00
3.00,1.00,2280.00,sqft,6900.00,sqft,98116,1005000.00
3.00,3.00,1700.00,sqft,6882.00,sqft,98136,1275000.00
6.00,5.50,4299.00,sqft,6867.00,sqft,98115,3300000.00
2.00,1.00,780.00,sqft,6860.00,sqft,98146,395000.00
4.00,3.00,2600.00,sqft,6840.00,sqft,98115,1750000.00
4.00,3.50,3300.00,sqft,6840.00,sqft,98125,1575000.00
2.00,1.50,1810.00,sqft,6827.00,sqft,98115,925000.00
4.00,2.00,1480.00,sqft,6820.00,sqft,98126,830000.00
3.00,2.00,1890.00,sqft,6808.00,sqft,98106,700000.00
2.00,2.00,2340.00,sqft,6802.00,sqft,98105,1398000.00
2.00,2.00,1040.00,sqft,6800.00,sqft,98133,625000.00
4.00,2.00,2178.00,sqft,6800.00,sqft,98133,880000.00
5.00,3.50,4397.00,sqft,6800.00,sqft,98105,3400000.00
6.00,5.00,3300.00,sqft,6800.00,sqft,98105,3598950.00
5.00,4.50,5210.00,sqft,6772.00,sqft,98122,3320000.00
3.00,2.00,2080.00,sqft,6769.00,sqft,98108,800000.00
3.00,1.50,1060.00,sqft,6765.00,sqft,98178,535000.00
2.00,2.00,1560.00,sqft,6750.00,sqft,98115,980000.00
2.00,1.00,1010.00,sqft,6750.00,sqft,98125,549950.00
5.00,6.50,6240.00,sqft,6750.00,sqft,98115,3122000.00
4.00,5.00,1910.00,sqft,6750.00,sqft,98177,800000.00
2.00,1.00,1480.00,sqft,6734.00,sqft,98117,905000.00
3.00,3.00,1630.00,sqft,6721.00,sqft,98168,615000.00
3.00,2.00,1550.00,sqft,6720.00,sqft,98199,1100000.00
3.00,2.00,1720.00,sqft,6720.00,sqft,98116,869000.00
3.00,3.00,2160.00,sqft,6710.00,sqft,98118,1300000.00
4.00,3.00,2230.00,sqft,6700.00,sqft,98115,1150000.00
2.00,1.00,720.00,sqft,6693.00,sqft,98117,545000.00
2.00,1.00,860.00,sqft,6678.00,sqft,98116,750000.00
3.00,2.00,1390.00,sqft,6656.00,sqft,98116,899950.00
2.00,1.00,1650.00,sqft,6650.00,sqft,98106,630000.00
5.00,3.00,2170.00,sqft,6650.00,sqft,98168,740000.00
3.00,1.50,1630.00,sqft,6615.00,sqft,98115,895000.00
2.00,1.00,1380.00,sqft,6613.00,sqft,98106,640000.00
5.00,3.00,2550.00,sqft,6604.00,sqft,98106,940000.00
3.00,3.00,2360.00,sqft,6600.00,sqft,98117,1775000.00
3.00,2.00,2702.00,sqft,6600.00,sqft,98103,1605000.00
1.00,1.00,434.00,sqft,6600.00,sqft,98102,345000.00
2.00,1.00,830.00,sqft,6600.00,sqft,98177,645000.00
4.00,4.00,2250.00,sqft,6600.00,sqft,98106,1070000.00
2.00,1.00,1350.00,sqft,6600.00,sqft,98115,799950.00
4.00,2.50,2560.00,sqft,6582.00,sqft,98116,1712000.00
3.00,1.00,1070.00,sqft,6567.00,sqft,98178,580000.00
3.00,1.50,1370.00,sqft,6556.00,sqft,98178,659950.00
2.00,1.00,870.00,sqft,6554.00,sqft,98118,555000.00
4.00,3.00,2288.00,sqft,6550.00,sqft,98126,1105000.00
3.00,1.00,1070.00,sqft,6535.00,sqft,98168,515000.00
4.00,1.50,2100.00,sqft,6532.00,sqft,98199,875000.00
4.00,1.50,2140.00,sqft,6511.00,sqft,98125,700500.00
2.00,1.00,770.00,sqft,6501.00,sqft,98125,620000.00
3.00,2.00,2437.00,sqft,6500.00,sqft,98118,1275000.00
2.00,1.00,1350.00,sqft,6500.00,sqft,98126,850000.00
4.00,3.00,2680.00,sqft,6402.00,sqft,98115,2100000.00
3.00,2.00,1580.00,sqft,6400.00,sqft,98126,942000.00
3.00,2.00,2120.00,sqft,6400.00,sqft,98103,1130000.00
4.00,3.50,2795.00,sqft,6400.00,sqft,98122,1740000.00
5.00,2.00,2660.00,sqft,6400.00,sqft,98136,1125000.00
2.00,1.00,810.00,sqft,6400.00,sqft,98146,435000.00
3.00,2.00,2020.00,sqft,6397.00,sqft,98117,840000.00
3.00,2.00,1580.00,sqft,6396.00,sqft,98126,820000.00
3.00,2.00,2284.00,sqft,6395.00,sqft,98136,850000.00
4.00,3.00,2650.00,sqft,6380.00,sqft,98115,1511000.00
4.00,2.00,1750.00,sqft,6380.00,sqft,98115,855000.00
3.00,2.00,2817.00,sqft,6375.00,sqft,98103,912000.00
5.00,2.50,2760.00,sqft,6350.00,sqft,98126,1025000.00
3.00,3.00,1250.00,sqft,6350.00,sqft,98117,815000.00
3.00,1.50,1220.00,sqft,6350.00,sqft,98103,599000.00
4.00,3.00,2040.00,sqft,6348.00,sqft,98103,940000.00
2.00,1.00,1150.00,sqft,6340.00,sqft,98136,845714.00
5.00,3.50,3310.00,sqft,6328.00,sqft,98115,1575000.00
5.00,4.00,2920.00,sqft,6323.00,sqft,98133,948000.00
3.00,1.50,1540.00,sqft,6300.00,sqft,98126,689000.00
3.00,1.50,1920.00,sqft,6300.00,sqft,98133,865000.00
2.00,1.00,740.00,sqft,6300.00,sqft,98126,500000.00
2.00,1.00,670.00,sqft,6300.00,sqft,98126,510000.00
3.00,2.00,1010.00,sqft,6300.00,sqft,98106,650000.00
4.00,3.50,3340.00,sqft,6300.00,sqft,98144,2100000.00
4.00,3.00,2160.00,sqft,6298.00,sqft,98125,980000.00
3.00,1.50,2220.00,sqft,6270.00,sqft,98115,930000.00
5.00,3.00,2820.00,sqft,6250.00,sqft,98136,865000.00
5.00,3.00,2820.00,sqft,6250.00,sqft,98136,900000.00
4.00,2.50,2130.00,sqft,6250.00,sqft,98136,960000.00
4.00,3.50,3220.00,sqft,6250.00,sqft,98199,2195000.00
2.00,2.00,1503.00,sqft,6250.00,sqft,98108,729000.00
4.00,2.00,2790.00,sqft,6250.00,sqft,98126,930000.00
2.00,2.00,1524.00,sqft,6250.00,sqft,98108,710000.00
5.00,2.00,2800.00,sqft,6250.00,sqft,98103,1200000.00
4.00,1.00,1530.00,sqft,6250.00,sqft,98117,740000.00
3.00,1.00,1320.00,sqft,6250.00,sqft,98168,529000.00
5.00,3.00,3060.00,sqft,6250.00,sqft,98116,950000.00
4.00,2.00,2140.00,sqft,6250.00,sqft,98199,1150000.00
4.00,2.00,2240.00,sqft,6240.00,sqft,98126,795000.00
3.00,1.00,1340.00,sqft,6223.00,sqft,98117,765000.00
3.00,1.50,1880.00,sqft,6215.00,sqft,98125,749000.00
5.00,3.50,3160.00,sqft,6200.00,sqft,98112,2300000.00
2.00,1.00,1200.00,sqft,6200.00,sqft,98103,1025100.00
2.00,1.00,730.00,sqft,6200.00,sqft,98105,25000000.00
3.00,1.50,1880.00,sqft,6194.00,sqft,98118,489000.00
3.00,2.00,1800.00,sqft,6180.00,sqft,98118,936000.00
5.00,3.00,2040.00,sqft,6180.00,sqft,98118,605000.00
5.00,4.50,3636.00,sqft,6180.00,sqft,98115,2840000.00
2.00,1.00,830.00,sqft,6180.00,sqft,98103,942000.00
2.00,1.00,1410.00,sqft,6180.00,sqft,98118,799000.00
3.00,3.00,2380.00,sqft,6172.00,sqft,98199,1385000.00
5.00,2.50,3090.00,sqft,6161.00,sqft,98105,1600000.00
4.00,5.00,2390.00,sqft,6156.00,sqft,98117,1500000.00
2.00,1.00,900.00,sqft,6150.00,sqft,98126,480000.00
3.00,1.50,2560.00,sqft,6150.00,sqft,98118,720000.00
2.00,2.00,1760.00,sqft,6150.00,sqft,98108,750000.00
3.00,1.00,1177.00,sqft,6150.00,sqft,98126,650000.00
4.00,3.50,3050.00,sqft,6146.00,sqft,98102,2250000.00
3.00,2.00,1960.00,sqft,6138.00,sqft,98115,900000.00
4.00,2.00,1641.00,sqft,6122.00,sqft,98118,538800.00
4.00,2.00,2360.00,sqft,6120.00,sqft,98115,950000.00
3.00,2.00,1660.00,sqft,6120.00,sqft,98115,795000.00
2.00,1.50,1580.00,sqft,6120.00,sqft,98115,1300000.00
2.00,2.00,850.00,sqft,6120.00,sqft,98115,889900.00
3.00,2.00,1440.00,sqft,6120.00,sqft,98115,935000.00
5.00,3.00,3556.00,sqft,6120.00,sqft,98115,2250000.00
4.00,2.50,1620.00,sqft,6120.00,sqft,98126,849950.00
2.00,1.00,1040.00,sqft,6103.00,sqft,98133,350000.00
4.00,2.50,2180.00,sqft,6099.00,sqft,98115,1275000.00
3.00,1.00,1120.00,sqft,6096.00,sqft,98106,615000.00
3.00,2.00,1900.00,sqft,6093.00,sqft,98115,965000.00
2.00,1.00,1440.00,sqft,6090.00,sqft,98125,699950.00
1.00,1.00,620.00,sqft,6090.00,sqft,98178,524950.00
3.00,1.50,1030.00,sqft,6086.00,sqft,98125,739000.00
2.00,1.00,1370.00,sqft,6084.00,sqft,98119,1000000.00
2.00,1.50,1320.00,sqft,6080.00,sqft,98116,810000.00
4.00,2.00,1480.00,sqft,6075.00,sqft,98118,665000.00
2.00,1.00,2380.00,sqft,6061.00,sqft,98108,640000.00
4.00,3.00,2311.00,sqft,6048.00,sqft,98115,1211000.00
3.00,3.00,1420.00,sqft,6037.00,sqft,98115,950000.00
4.00,2.00,2680.00,sqft,6035.00,sqft,98177,950000.00
4.00,3.00,2466.00,sqft,6030.00,sqft,98115,1299000.00
2.00,1.00,900.00,sqft,6030.00,sqft,98168,409050.00
3.00,2.00,2299.00,sqft,6022.00,sqft,98199,1435000.00
2.00,2.00,1131.00,sqft,6018.00,sqft,98116,575000.00
4.00,2.00,2787.00,sqft,6011.00,sqft,98122,1207000.00
3.00,1.50,1420.00,sqft,6009.00,sqft,98117,980000.00
3.00,2.00,2120.00,sqft,6009.00,sqft,98117,1345000.00
4.00,2.50,2760.00,sqft,6001.00,sqft,98178,640000.00
3.00,2.50,2590.00,sqft,6000.00,sqft,98144,795000.00
1.00,1.00,670.00,sqft,6000.00,sqft,98133,460000.00
5.00,3.50,4510.00,sqft,6000.00,sqft,98105,3150000.00
4.00,4.00,3142.00,sqft,6000.00,sqft,98119,1600000.00
2.00,1.50,2680.00,sqft,6000.00,sqft,98102,1125000.00
9.00,4.00,3800.00,sqft,6000.00,sqft,98116,1343000.00
4.00,2.00,1910.00,sqft,6000.00,sqft,98168,630000.00
3.00,2.00,1630.00,sqft,6000.00,sqft,98168,630000.00
4.00,4.00,2650.00,sqft,6000.00,sqft,98103,1000000.00
2.00,2.00,1128.00,sqft,6000.00,sqft,98144,625000.00
2.00,1.00,930.00,sqft,6000.00,sqft,98133,620000.00
4.00,2.00,2740.00,sqft,6000.00,sqft,98119,1400000.00
4.00,1.00,1310.00,sqft,6000.00,sqft,98146,735000.00
3.00,2.00,2260.00,sqft,6000.00,sqft,98199,1300000.00
